Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
Howey Politics/DePauw University,B/C@@8,0.660081153,D+0.07@@.07,7,D+
A&A Research,B/C@@8,0.660707154,R+0.11@@-.11,1,R+
Decision Forecasting,B/C@@8,0.661630087,R+0.04@@-.04,3,R+
Premise,B/C@@8,0.661640742,D+0.21@@.21,1,D+
Feldman Group,B/C@@8,0.662655422,D+0.16@@.16,2,D+
Data for Progress,C+@@9,0.665314818,D+1.59@@1.59,114,D+
American Pulse Research & Polling,B/C@@8,0.669665716,D+0.41@@.41,2,D+
"California State University, Bakersfield",B/C@@8,0.669912075,R+0.10@@-.1,1,R+
Southern Opinion Research,B/C@@8,0.670800969,D+0.01@@.01,2,D+
Sky Research,B/C@@8,0.671025065,R+0.28@@-.28,1,R+
University of Nevada Las Vegas,B/C@@8,0.67111863,±0.00@@0,1,±
St. Pete Polls,C+@@9,0.67289363,D+0.69@@.69,31,D+
Detroit Free Press,B/C@@8,0.673039268,D+0.10@@.1,1,D+
University of Illinois at Chicago,B/C@@8,0.673771653,R+0.12@@-.12,1,R+
Southern Research Group,B/C@@8,0.675124378,D+0.09@@.09,1,D+
Great Lakes Strategies Group,B/C@@8,0.680265362,R+0.15@@-.15,1,R+
Swayable,C+@@9,0.680733127,D+3.80@@3.8,89,D+
University of North Carolina,B/C@@8,0.68088769,D+0.16@@.16,1,D+
Tulsa Surveys,B/C@@8,0.681549495,R+0.10@@-.1,1,R+
Public Strategies Inc.,B/C@@8,0.681847129,±0.00@@0,6,±
Abacus Associates,B/C@@8,0.681919881,D+0.13@@.13,2,D+
MarketAide Services Inc.,B/C@@8,0.682517359,D+0.12@@.12,1,D+
Kimball Political Consulting,B/C@@8,0.683762631,R+0.77@@-.77,6,R+
Liberty Opinion Research,B/C@@8,0.683856454,±0.00@@0,1,±
MarblePort,B/C@@8,0.68402866,R+0.30@@-.3,2,R+
Opinion Consultants,B/C@@8,0.686527238,R+0.19@@-.19,2,R+
Forman Center,B/C@@8,0.688057838,D+0.18@@.18,2,D+
SocialSphere,B/C@@8,0.688370959,R+0.31@@-.31,2,R+
TeleResearch Corporation,B/C@@8,0.68937362,±0.00@@0,1,±
Hill Research Consultants,B/C@@8,0.68962416,R+0.14@@-.14,6,R+
Arthur J. Finkelstein & Associates,B/C@@8,0.68991044,R+0.15@@-.15,1,R+
Bannon Communications Research,B/C@@8,0.690384494,D+0.25@@.25,2,D+
Hays Research Group,B/C@@8,0.69110493,D+0.74@@.74,9,D+
"Normington, Petts & Associates",B/C@@8,0.692244569,D+0.69@@.69,12,D+
SMS Research & Marketing Services,B/C@@8,0.693422132,R+0.13@@-.13,1,R+
Patinkin Research Strategies,B/C@@8,0.693430792,D+0.76@@.76,4,D+
Baselice & Associates,B/C@@8,0.695213557,D+0.23@@.23,2,D+
GaPundit.com,B/C@@8,0.695986881,D+0.42@@.42,2,D+
Zata3,B/C@@8,0.697128155,R+0.15@@-.15,2,R+
Castleton University,B/C@@8,0.69804118,±0.00@@0,3,±
Glover Park Group,B/C@@8,0.702027676,R+0.26@@-.26,1,R+
Ed Renwick/Loyola University New Orleans,B/C@@8,0.708334134,D+0.70@@.7,10,D+
Hoffman Research Group,B/C@@8,0.711015753,R+0.55@@-.55,3,R+
A2 Insights,B/C@@8,0.713021438,R+0.89@@-.89,2,R+
Auburn University,B/C@@8,0.715736345,D+0.61@@.61,2,D+
LIT Data,B/C@@8,0.716080637,±0.00@@0,4,±
Jeffrey Stonecash,B/C@@8,0.718366539,R+0.17@@-.17,1,R+
Lycoming College Polling Institute,B/C@@8,0.72027436,D+0.37@@.37,3,D+
PSI,B/C@@8,0.723155635,R+0.03@@-.03,3,R+
Ohio University,B/C@@8,0.723661208,D+0.26@@.26,2,D+
The Kitchens Group,B/C@@8,0.724712667,D+0.19@@.19,1,D+
Neighbor,B/C@@8,0.725513462,R+0.14@@-.14,1,R+
Lester & Associates,B/C@@8,0.727031705,±0.00@@0,1,±
Rainmaker Media Group,B/C@@8,0.728806964,D+0.21@@.21,1,D+
Cometrends,B/C@@8,0.729079193,D+0.30@@.3,1,D+
Lauer Johnson Research,B/C@@8,0.731792373,D+0.20@@.2,1,D+
brilliant corners Research & Strategies,B/C@@8,0.732444324,D+0.49@@.49,1,D+
Gonzales Research & Marketing Strategies Inc.,B/C@@8,0.733201002,R+0.51@@-.51,10,R+
Consumer Logic,B/C@@8,0.733260832,D+0.23@@.23,2,D+
Gazette Communications,B/C@@8,0.734989337,D+0.18@@.18,2,D+
University of Colorado (Boulder),B/C@@8,0.736356022,D+0.39@@.39,2,D+
Morning Consult,C+@@9,0.737984643,D+3.37@@3.37,114,D+
Overtime Politics,F@@16,0.73861933,±0.00@@0,12,±
St. Cloud State University,B/C@@8,0.740669501,D+1.53@@1.53,17,D+
University of Texas at Tyler,B/C@@8,0.741315021,D+0.77@@.77,10,D+
Minnesota State University,B/C@@8,0.742659837,D+0.35@@.35,4,D+
Change Research,C+@@9,0.744105748,D+2.68@@2.68,115,D+
Y2 Analytics,B/C@@8,0.746765677,D+1.08@@1.08,8,D+
Data West Polling,B/C@@8,0.748407763,D+0.29@@.29,2,D+
Univision/Latino Decisions/North Star Opinion Research,B/C@@8,0.749023568,D+1.06@@1.06,7,D+
WCIA-TV,B/C@@8,0.75082993,R+0.30@@-.3,2,R+
Datamar Analytics,B/C@@8,0.7529736,R+0.21@@-.21,8,R+
New Frontier Strategy,B/C@@8,0.754717054,±0.00@@0,2,±
University of Alabama at Birmingham,B/C@@8,0.755133776,R+0.26@@-.26,2,R+
Nelson Research,B/C@@8,0.756315974,R+0.29@@-.29,1,R+
Bold Decision,B/C@@8,0.758401532,D+0.39@@.39,1,D+
VCreek/AMG,B/C@@8,0.759781222,D+0.31@@.31,1,D+
Digital Research,B/C@@8,0.760240271,D+0.10@@.1,21,D+
Hickman Analytics,B/C@@8,0.763936792,D+0.34@@.34,1,D+
Hunt Research,B/C@@8,0.763963704,D+0.40@@.4,1,D+
EMC Research,B/C@@8,0.765342465,D+1.11@@1.11,15,D+
Saguaro Strategies,B/C@@8,0.77191797,D+0.30@@.3,2,D+
Open Model Project,B/C@@8,0.774352896,R+0.43@@-.43,2,R+
ConsultorÃ­a AcadÃ©mica e InvestigaciÃ³n Social LLC,B/C@@8,0.774392368,±0.00@@0,2,±
RMS Research,B/C@@8,0.774497091,D+0.25@@.25,3,D+
East Tennessee State University,B/C@@8,0.778404415,D+0.66@@.66,2,D+
Colby College,B/C@@8,0.780347901,D+1.59@@1.59,6,D+
Victory Insights,B/C@@8,0.78048086,D+0.96@@.96,9,D+
Opinium,B/C@@8,0.796326524,D+0.56@@.56,2,D+
Thomas Partners Strategies/Optimus,B/C@@8,0.797566733,R+0.73@@-.73,2,R+
SSRS,C+@@9,0.797849465,D+2.78@@2.78,47,D+
Zia Poll,B/C@@8,0.798078752,R+0.65@@-.65,4,R+
Global Marketing Research Services,B/C@@8,0.798203077,D+0.38@@.38,1,D+
Capital Survey Research Center,B/C@@8,0.801720591,D+0.02@@.02,13,D+
The Justice Collaborative Institute,B/C@@8,0.818030094,D+0.51@@.51,2,D+
Baydoun Consulting,B/C@@8,0.822998109,R+0.75@@-.75,6,R+
Arizona State University,B/C@@8,0.830070778,D+0.43@@.43,8,D+
Bluegrass Community and Technical College,B/C@@8,0.832165921,D+0.84@@.84,2,D+
Marketing Resource Group (MRG),B/C@@8,0.835014301,D+0.25@@.25,10,D+
Victory Enterprises,B/C@@8,0.843502582,R+0.39@@-.39,1,R+
Phillips Academy,B/C@@8,0.843564487,R+0.89@@-.89,7,R+
GCR & Associates,B/C@@8,0.844424932,±0.00@@0,1,±
Clout Research,B/C@@8,0.848403601,R+1.56@@-1.56,16,R+
Brandwatch Qriously,B/C@@8,0.851247026,D+0.72@@.72,3,D+
Schapiro Group,B/C@@8,0.861410095,±0.00@@0,2,±
Millersville University,B/C@@8,0.864240397,R+0.48@@-.48,5,R+
Miami Univerity,B/C@@8,0.865729524,D+0.69@@.69,2,D+
Hampton University,B/C@@8,0.870667457,R+0.63@@-.63,4,R+
Bainbridge Media Group,B/C@@8,0.87605438,D+0.36@@.36,1,D+
Massie & Associates,B/C@@8,0.891677982,R+0.40@@-.4,2,R+
Loras College,B/C@@8,0.895826204,D+1.27@@1.27,18,D+
University of Iowa,B/C@@8,0.899397562,R+0.24@@-.24,3,R+
Constituent Dynamics,B/C@@8,0.909245422,±0.00@@0,7,±
Survation,B/C@@8,0.912185708,D+0.61@@.61,2,D+
DeSales University,B/C@@8,0.918719318,D+0.57@@.57,1,D+
Greg Smith & Associates,B/C@@8,0.919279648,D+0.72@@.72,5,D+
Cole Hargrave Snodgrass & Associates,B/C@@8,0.924903556,D+0.07@@.07,5,D+
Roanoke College,B/C@@8,0.929697156,D+0.63@@.63,23,D+
Kiaer Research,B/C@@8,0.941173999,D+0.81@@.81,2,D+
Hendrix College,B/C@@8,0.941629424,D+1.79@@1.79,18,D+
Marketing Workshop,B/C@@8,0.942333537,D+0.26@@.26,8,D+
Momentum Analysis,B/C@@8,0.947486821,D+0.28@@.28,3,D+
Craciun Research Group,B/C@@8,0.948087513,D+0.58@@.58,1,D+
Western Kentucky University,B/C@@8,0.965508564,D+0.70@@.7,4,D+
Market Research Insight,B/C@@8,0.970565871,R+0.45@@-.45,27,R+
IZQ Strategies,B/C@@8,0.982593333,±0.00@@0,1,±
Citizen Data,B/C@@8,0.984948885,D+2.34@@2.34,12,D+
Truedot,B/C@@8,1.035936221,D+0.95@@.95,2,D+
Baldwin Wallace University,B/C@@8,1.040615822,D+1.29@@1.29,4,D+
Amber Integrated,B/C@@8,1.060434565,D+1.87@@1.87,8,D+
BWD Global,B/C@@8,1.07819817,R+0.11@@-.11,2,R+
Repass,B/C@@8,1.089318565,D+0.06@@.06,4,D+
Rutgers University,B/C@@8,1.091079976,D+0.97@@.97,19,D+
We Ask America,C@@10,1.094763472,R+0.78@@-.78,56,R+
Carroll Strategies,B/C@@8,1.096984707,R+1.51@@-1.51,5,R+
Glascock Group,B/C@@8,1.108778056,D+0.19@@.19,2,D+
Tomahawk Strategies,B/C@@8,1.110420337,D+0.78@@.78,1,D+
ccAdvertising,B/C@@8,1.129640673,R+2.24@@-2.24,33,R+
Center Street PAC,B/C@@8,1.132801227,D+1.55@@1.55,4,D+
Thomas Partners Strategies,B/C@@8,1.135661822,R+1.04@@-1.04,2,R+
American Research Group,C@@10,1.142436357,D+0.07@@.07,280,D+
Dane & Associates,B/C@@8,1.151413968,R+0.72@@-.72,2,R+
GOP Calls,B/C@@8,1.152080596,R+0.81@@-.81,2,R+
McLaughlin & Associates,B/C@@8,1.162731311,R+1.70@@-1.7,29,R+
Mitchell Research & Communications,C@@10,1.164360947,D+0.94@@.94,82,D+
Riggs Research Services,B/C@@8,1.164869114,D+0.66@@.66,1,D+
Meredith College,B/C@@8,1.167492152,D+1.05@@1.05,6,D+
FM3 Research,B/C@@8,1.180463754,D+1.84@@1.84,11,D+
Saint Leo University Polling Institute,B/C@@8,1.191102218,D+1.38@@1.38,6,D+
CPEC,B/C@@8,1.196871157,±0.00@@0,2,±
SoonerPoll.com,B/C@@8,1.197033162,D+2.66@@2.66,26,D+
TargetPoint,B/C@@8,1.206709297,±0.00@@0,2,±
University of Minnesota,B/C@@8,1.25071271,D+0.43@@.43,10,D+
Elucd,B/C@@8,1.253670368,±0.00@@0,4,±
Target Insyght,B/C@@8,1.256173277,R+0.49@@-.49,6,R+
"Island Analytics & Marketing, LLC",B/C@@8,1.263569164,±0.00@@0,1,±
Trafalgar Group/Insider Advantage,B/C@@8,1.268447931,R+1.91@@-1.91,3,R+
Opinion Research Associates,B/C@@8,1.286661953,D+1.61@@1.61,14,D+
Capen Analytics,B/C@@8,1.290129407,±0.00@@0,1,±
Merriman River Group,C/D@@12,1.32183459,R+2.76@@-2.76,25,R+
Brigham Young University,C/D@@12,1.371324721,D+1.60@@1.6,4,D+
Triton Polling & Research,C/D@@12,1.382176772,D+0.98@@.98,3,D+
University of Wyoming,C/D@@12,1.461230914,D+2.22@@2.22,5,D+
RABA Research,C/D@@12,1.473458903,D+2.44@@2.44,9,D+
Point Blank Political,C/D@@12,1.494904163,±0.00@@0,6,±
The Political Matrix/The Listener Group,C/D@@12,1.514229426,D+1.45@@1.45,12,D+
SurveyMonkey,D+@@13,1.63366559,D+4.63@@4.63,268,D+
TCJ Research,F@@16,1.648897661,R+4.07@@-4.07,132,R+
Brown University,C/D@@12,1.6737389,R+0.20@@-.2,14,R+
Indiana University-Purdue University Fort Wayne (Downs Center),C/D@@12,1.76619379,±0.00@@0,3,±
Long Island University,C/D@@12,1.770332582,D+1.88@@1.88,4,D+
Nielson Brothers Polling,C/D@@12,2.003611835,D+3.05@@3.05,11,D+
Ascend Action,C/D@@12,2.234505854,D+3.35@@3.35,6,D+
Jayhawk Consulting Services,C/D@@12,2.292432456,D+2.27@@2.27,2,D+
Fort Hays State University,C/D@@12,2.495298308,R+1.10@@-1.1,6,R+
The Dartmouth Poll,C/D@@12,3.685715649,D+4.40@@4.4,4,D+
